date,Dublin,Cork,Kerry,Knock,Shannon,All,year
2028-07-01,4776194.552695746,319319.6393961833,43404.262250205466,119722.87315965396,215858.43235390316,5147072.708683236,2028
2028-08-01,4714345.02245805,310190.5924327254,45874.380576166186,121626.62370287899,213379.57095899485,5087973.3024168555,2028
2028-09-01,4406504.941414136,260666.74302199038,39097.46006922086,97361.28387972634,172539.35017058285,4675877.825887014,2028
2028-10-01,4340775.883405005,253781.4512005355,38342.28523597857,96031.31437785331,153640.1267069636,4570382.503873414,2028
2028-11-01,3865898.157774176,207350.56596380443,28201.719535291442,74940.67316642008,117195.86552367476,4013809.8836397068,2028
2028-12-01,3846254.656253397,201660.86884010836,27993.290251857718,74373.99365799496,114075.46820046843,3982373.0301863034,2028
2029-01-01,3759848.919322909,195913.08432300246,25221.693366894942,67554.71368748508,101033.08051158262,3869309.30611015,2029
2029-02-01,3777338.5920326384,201600.31900003436,26706.451880098724,72888.7816227669,101098.37031615942,3894549.666818032,2029
2029-03-01,4166857.972211454,228504.9470945521,30361.328450058845,79964.82804175111,125413.42627416528,4320960.113657938,2029
2029-04-01,4286716.498095159,243214.2089226342,36346.25075545634,94644.39681188007,139067.91084045672,4486015.2808115985,2029
2029-05-01,4538504.68947968,275328.0314026944,39260.474443322746,99587.38308499262,169720.4772661102,4791799.831937797,2029
2029-06-01,4773083.38896411,312839.8070286165,40808.53175449761,108686.0449693367,201792.0729096914,5085950.460120847,2029
2029-07-01,4983097.161438802,326230.1202775584,44151.77076168279,122873.47839086394,217187.40690848354,5331009.134685562,2029
2029-08-01,4921247.631201107,317101.0733141005,46621.88908764351,124777.22893408897,214708.54551357523,5271913.068770997,2029
2029-09-01,4613407.550157193,267577.22390336543,39844.96858069819,100511.88911093632,173868.32472516323,4859821.472824068,2029
2029-10-01,4547678.492148061,260691.93208191055,39089.79374745589,99181.91960906329,154969.10126154398,4754325.840579573,2029
2029-11-01,4072800.7665172326,214261.0468451795,28949.228046768767,78091.27839763006,118524.84007825513,4197762.852523711,2029
2029-12-01,4053157.2649964537,208571.34972148342,28740.798763335042,77524.59888920494,115404.4427550488,4166323.0038907235,2029
2030-01-01,3966751.5280659655,202823.56520437752,25969.201878372267,70705.31891869506,102362.055066163,4053258.6719054775,2030
2030-02-01,3984241.200775695,208510.79988140942,27453.96039157605,76039.38685397687,102427.34487073979,4078498.315556978,2030
2030-03-01,4373760.580954511,235415.42797592716,31108.83696153617,83115.43327296109,126742.40082874565,4504904.002725226,2030
2030-04-01,4493619.106838216,250124.68980400925,37093.75926693367,97795.00204309005,140396.8853950371,4669962.785780311,2030
2030-05-01,4745407.298222736,282238.51228406944,40007.98295480007,102737.9883162026,171049.45182069056,4975743.630058366,2030
2030-06-01,4979985.997707167,319750.2879099915,41556.04026597494,111836.65020054668,203121.04746427177,5269891.071717069,2030
2030-07-01,5189999.770181859,333140.6011589334,44899.279273160115,126024.08362207391,218516.3814630639,5514949.468253868,2030
2030-08-01,5128150.239944164,324011.55419547553,47369.397599120835,127927.83416529895,216037.5200681556,5455854.783670279,2030
2030-09-01,4820310.15890025,274487.70478474046,40592.47709217551,103662.4943421463,175197.2992797436,5043764.792455331,2030
2030-10-01,4754581.100891118,267602.4129632856,39837.30225893322,102332.52484027327,156298.07581612436,4938269.031921492,2030
2030-11-01,4279703.375260289,221171.52772655452,29696.73655824609,81241.88362884003,119853.8146328355,4381710.027046555,2030
2030-12-01,4260059.87373951,215481.83060285845,29488.307274812367,80675.20412041491,116733.41730962918,4350268.939821178,2030
2031-01-01,4173654.1368090217,209734.04608575255,26716.71038984959,73855.92414990504,103691.02962074337,4237204.356448142,2031
