"Statistic Label","Month","Detailed Sub Indices","UNIT","VALUE"
"Consumer Price Index","2003 January","Passenger transport by air","Base Dec 2016=100","100.7"
"Consumer Price Index","2003 February","Passenger transport by air","Base Dec 2016=100","100.7"
"Consumer Price Index","2003 March","Passenger transport by air","Base Dec 2016=100","98"
"Consumer Price Index","2003 April","Passenger transport by air","Base Dec 2016=100","98.8"
"Consumer Price Index","2003 May","Passenger transport by air","Base Dec 2016=100","93.8"
"Consumer Price Index","2003 June","Passenger transport by air","Base Dec 2016=100","95.1"
"Consumer Price Index","2003 July","Passenger transport by air","Base Dec 2016=100","101.9"
"Consumer Price Index","2003 August","Passenger transport by air","Base Dec 2016=100","111.7"
"Consumer Price Index","2003 September","Passenger transport by air","Base Dec 2016=100","110.2"
"Consumer Price Index","2003 October","Passenger transport by air","Base Dec 2016=100","97.8"
"Consumer Price Index","2003 November","Passenger transport by air","Base Dec 2016=100","86.6"
"Consumer Price Index","2003 December","Passenger transport by air","Base Dec 2016=100","96.6"
"Consumer Price Index","2004 January","Passenger transport by air","Base Dec 2016=100","69.4"
"Consumer Price Index","2004 February","Passenger transport by air","Base Dec 2016=100","89.7"
"Consumer Price Index","2004 March","Passenger transport by air","Base Dec 2016=100","115.7"
"Consumer Price Index","2004 April","Passenger transport by air","Base Dec 2016=100","114.8"
"Consumer Price Index","2004 May","Passenger transport by air","Base Dec 2016=100","103.3"
"Consumer Price Index","2004 June","Passenger transport by air","Base Dec 2016=100","106.5"
"Consumer Price Index","2004 July","Passenger transport by air","Base Dec 2016=100","136.4"
"Consumer Price Index","2004 August","Passenger transport by air","Base Dec 2016=100","131.4"
"Consumer Price Index","2004 September","Passenger transport by air","Base Dec 2016=100","120.3"
"Consumer Price Index","2004 October","Passenger transport by air","Base Dec 2016=100","104.6"
"Consumer Price Index","2004 November","Passenger transport by air","Base Dec 2016=100","101.7"
"Consumer Price Index","2004 December","Passenger transport by air","Base Dec 2016=100","138.8"
"Consumer Price Index","2005 January","Passenger transport by air","Base Dec 2016=100","87.1"
"Consumer Price Index","2005 February","Passenger transport by air","Base Dec 2016=100","94.6"
"Consumer Price Index","2005 March","Passenger transport by air","Base Dec 2016=100","82.5"
"Consumer Price Index","2005 April","Passenger transport by air","Base Dec 2016=100","80.3"
"Consumer Price Index","2005 May","Passenger transport by air","Base Dec 2016=100","97.2"
"Consumer Price Index","2005 June","Passenger transport by air","Base Dec 2016=100","113.7"
"Consumer Price Index","2005 July","Passenger transport by air","Base Dec 2016=100","126.7"
"Consumer Price Index","2005 August","Passenger transport by air","Base Dec 2016=100","113.9"
"Consumer Price Index","2005 September","Passenger transport by air","Base Dec 2016=100","95.3"
"Consumer Price Index","2005 October","Passenger transport by air","Base Dec 2016=100","86.2"
"Consumer Price Index","2005 November","Passenger transport by air","Base Dec 2016=100","88.2"
"Consumer Price Index","2005 December","Passenger transport by air","Base Dec 2016=100","120.4"
"Consumer Price Index","2006 January","Passenger transport by air","Base Dec 2016=100","106.1"
"Consumer Price Index","2006 February","Passenger transport by air","Base Dec 2016=100","116.5"
"Consumer Price Index","2006 March","Passenger transport by air","Base Dec 2016=100","123"
"Consumer Price Index","2006 April","Passenger transport by air","Base Dec 2016=100","119.3"
"Consumer Price Index","2006 May","Passenger transport by air","Base Dec 2016=100","74.6"
"Consumer Price Index","2006 June","Passenger transport by air","Base Dec 2016=100","109.3"
"Consumer Price Index","2006 July","Passenger transport by air","Base Dec 2016=100","130.5"
"Consumer Price Index","2006 August","Passenger transport by air","Base Dec 2016=100","133"
"Consumer Price Index","2006 September","Passenger transport by air","Base Dec 2016=100","112.5"
"Consumer Price Index","2006 October","Passenger transport by air","Base Dec 2016=100","98.6"
"Consumer Price Index","2006 November","Passenger transport by air","Base Dec 2016=100","89.9"
"Consumer Price Index","2006 December","Passenger transport by air","Base Dec 2016=100","90.6"
"Consumer Price Index","2007 January","Passenger transport by air","Base Dec 2016=100","103.3"
"Consumer Price Index","2007 February","Passenger transport by air","Base Dec 2016=100","116.3"
"Consumer Price Index","2007 March","Passenger transport by air","Base Dec 2016=100","129.7"
"Consumer Price Index","2007 April","Passenger transport by air","Base Dec 2016=100","134.9"
"Consumer Price Index","2007 May","Passenger transport by air","Base Dec 2016=100","102.6"
"Consumer Price Index","2007 June","Passenger transport by air","Base Dec 2016=100","112.3"
"Consumer Price Index","2007 July","Passenger transport by air","Base Dec 2016=100","139.7"
"Consumer Price Index","2007 August","Passenger transport by air","Base Dec 2016=100","131.6"
"Consumer Price Index","2007 September","Passenger transport by air","Base Dec 2016=100","114.3"
"Consumer Price Index","2007 October","Passenger transport by air","Base Dec 2016=100","99.6"
"Consumer Price Index","2007 November","Passenger transport by air","Base Dec 2016=100","85.5"
"Consumer Price Index","2007 December","Passenger transport by air","Base Dec 2016=100","88.3"
"Consumer Price Index","2008 January","Passenger transport by air","Base Dec 2016=100","73.5"
"Consumer Price Index","2008 February","Passenger transport by air","Base Dec 2016=100","94.7"
"Consumer Price Index","2008 March","Passenger transport by air","Base Dec 2016=100","139"
"Consumer Price Index","2008 April","Passenger transport by air","Base Dec 2016=100","101.2"
"Consumer Price Index","2008 May","Passenger transport by air","Base Dec 2016=100","97.9"
"Consumer Price Index","2008 June","Passenger transport by air","Base Dec 2016=100","109.1"
"Consumer Price Index","2008 July","Passenger transport by air","Base Dec 2016=100","121.2"
"Consumer Price Index","2008 August","Passenger transport by air","Base Dec 2016=100","114.2"
"Consumer Price Index","2008 September","Passenger transport by air","Base Dec 2016=100","104.8"
"Consumer Price Index","2008 October","Passenger transport by air","Base Dec 2016=100","100.7"
"Consumer Price Index","2008 November","Passenger transport by air","Base Dec 2016=100","95.8"
"Consumer Price Index","2008 December","Passenger transport by air","Base Dec 2016=100","86.2"
"Consumer Price Index","2009 January","Passenger transport by air","Base Dec 2016=100","78"
"Consumer Price Index","2009 February","Passenger transport by air","Base Dec 2016=100","94.6"
"Consumer Price Index","2009 March","Passenger transport by air","Base Dec 2016=100","107.7"
"Consumer Price Index","2009 April","Passenger transport by air","Base Dec 2016=100","91.5"
"Consumer Price Index","2009 May","Passenger transport by air","Base Dec 2016=100","88.7"
"Consumer Price Index","2009 June","Passenger transport by air","Base Dec 2016=100","93.9"
"Consumer Price Index","2009 July","Passenger transport by air","Base Dec 2016=100","106.1"
"Consumer Price Index","2009 August","Passenger transport by air","Base Dec 2016=100","113.5"
"Consumer Price Index","2009 September","Passenger transport by air","Base Dec 2016=100","82.1"
"Consumer Price Index","2009 October","Passenger transport by air","Base Dec 2016=100","81.8"
"Consumer Price Index","2009 November","Passenger transport by air","Base Dec 2016=100","89.9"
"Consumer Price Index","2009 December","Passenger transport by air","Base Dec 2016=100","97.3"
"Consumer Price Index","2010 January","Passenger transport by air","Base Dec 2016=100","73.2"
"Consumer Price Index","2010 February","Passenger transport by air","Base Dec 2016=100","92.8"
"Consumer Price Index","2010 March","Passenger transport by air","Base Dec 2016=100","107.5"
"Consumer Price Index","2010 April","Passenger transport by air","Base Dec 2016=100","94"
"Consumer Price Index","2010 May","Passenger transport by air","Base Dec 2016=100","107.2"
"Consumer Price Index","2010 June","Passenger transport by air","Base Dec 2016=100","108.4"
"Consumer Price Index","2010 July","Passenger transport by air","Base Dec 2016=100","114.9"
"Consumer Price Index","2010 August","Passenger transport by air","Base Dec 2016=100","134.2"
"Consumer Price Index","2010 September","Passenger transport by air","Base Dec 2016=100","95.3"
"Consumer Price Index","2010 October","Passenger transport by air","Base Dec 2016=100","98.4"
"Consumer Price Index","2010 November","Passenger transport by air","Base Dec 2016=100","100.1"
"Consumer Price Index","2010 December","Passenger transport by air","Base Dec 2016=100","103.8"
"Consumer Price Index","2011 January","Passenger transport by air","Base Dec 2016=100","83.5"
"Consumer Price Index","2011 February","Passenger transport by air","Base Dec 2016=100","101.1"
"Consumer Price Index","2011 March","Passenger transport by air","Base Dec 2016=100","101.4"
"Consumer Price Index","2011 April","Passenger transport by air","Base Dec 2016=100","119.6"
"Consumer Price Index","2011 May","Passenger transport by air","Base Dec 2016=100","109"
"Consumer Price Index","2011 June","Passenger transport by air","Base Dec 2016=100","128.4"
"Consumer Price Index","2011 July","Passenger transport by air","Base Dec 2016=100","143.6"
"Consumer Price Index","2011 August","Passenger transport by air","Base Dec 2016=100","137.4"
"Consumer Price Index","2011 September","Passenger transport by air","Base Dec 2016=100","114.3"
"Consumer Price Index","2011 October","Passenger transport by air","Base Dec 2016=100","104"
"Consumer Price Index","2011 November","Passenger transport by air","Base Dec 2016=100","101.5"
"Consumer Price Index","2011 December","Passenger transport by air","Base Dec 2016=100","97.9"
"Consumer Price Index","2012 January","Passenger transport by air","Base Dec 2016=100","87.1"
"Consumer Price Index","2012 February","Passenger transport by air","Base Dec 2016=100","102.5"
"Consumer Price Index","2012 March","Passenger transport by air","Base Dec 2016=100","130.7"
"Consumer Price Index","2012 April","Passenger transport by air","Base Dec 2016=100","111"
"Consumer Price Index","2012 May","Passenger transport by air","Base Dec 2016=100","109.9"
"Consumer Price Index","2012 June","Passenger transport by air","Base Dec 2016=100","127.7"
"Consumer Price Index","2012 July","Passenger transport by air","Base Dec 2016=100","147.8"
"Consumer Price Index","2012 August","Passenger transport by air","Base Dec 2016=100","149.3"
"Consumer Price Index","2012 September","Passenger transport by air","Base Dec 2016=100","124.2"
"Consumer Price Index","2012 October","Passenger transport by air","Base Dec 2016=100","102.3"
"Consumer Price Index","2012 November","Passenger transport by air","Base Dec 2016=100","97.1"
"Consumer Price Index","2012 December","Passenger transport by air","Base Dec 2016=100","103.5"
"Consumer Price Index","2013 January","Passenger transport by air","Base Dec 2016=100","90.7"
"Consumer Price Index","2013 February","Passenger transport by air","Base Dec 2016=100","99.7"
"Consumer Price Index","2013 March","Passenger transport by air","Base Dec 2016=100","123.5"
"Consumer Price Index","2013 April","Passenger transport by air","Base Dec 2016=100","101.1"
"Consumer Price Index","2013 May","Passenger transport by air","Base Dec 2016=100","117.1"
"Consumer Price Index","2013 June","Passenger transport by air","Base Dec 2016=100","134.6"
"Consumer Price Index","2013 July","Passenger transport by air","Base Dec 2016=100","151.1"
"Consumer Price Index","2013 August","Passenger transport by air","Base Dec 2016=100","143.1"
"Consumer Price Index","2013 September","Passenger transport by air","Base Dec 2016=100","126.4"
"Consumer Price Index","2013 October","Passenger transport by air","Base Dec 2016=100","101.2"
"Consumer Price Index","2013 November","Passenger transport by air","Base Dec 2016=100","87.3"
"Consumer Price Index","2013 December","Passenger transport by air","Base Dec 2016=100","98"
"Consumer Price Index","2014 January","Passenger transport by air","Base Dec 2016=100","86.5"
"Consumer Price Index","2014 February","Passenger transport by air","Base Dec 2016=100","108"
"Consumer Price Index","2014 March","Passenger transport by air","Base Dec 2016=100","125.7"
"Consumer Price Index","2014 April","Passenger transport by air","Base Dec 2016=100","134.1"
"Consumer Price Index","2014 May","Passenger transport by air","Base Dec 2016=100","101.8"
"Consumer Price Index","2014 June","Passenger transport by air","Base Dec 2016=100","132.3"
"Consumer Price Index","2014 July","Passenger transport by air","Base Dec 2016=100","156"
"Consumer Price Index","2014 August","Passenger transport by air","Base Dec 2016=100","148.4"
"Consumer Price Index","2014 September","Passenger transport by air","Base Dec 2016=100","124.6"
"Consumer Price Index","2014 October","Passenger transport by air","Base Dec 2016=100","97.7"
"Consumer Price Index","2014 November","Passenger transport by air","Base Dec 2016=100","91.7"
"Consumer Price Index","2014 December","Passenger transport by air","Base Dec 2016=100","94.2"
"Consumer Price Index","2015 January","Passenger transport by air","Base Dec 2016=100","84.6"
"Consumer Price Index","2015 February","Passenger transport by air","Base Dec 2016=100","96"
"Consumer Price Index","2015 March","Passenger transport by air","Base Dec 2016=100","120.8"
"Consumer Price Index","2015 April","Passenger transport by air","Base Dec 2016=100","97"
"Consumer Price Index","2015 May","Passenger transport by air","Base Dec 2016=100","104.3"
"Consumer Price Index","2015 June","Passenger transport by air","Base Dec 2016=100","139.4"
"Consumer Price Index","2015 July","Passenger transport by air","Base Dec 2016=100","148.7"
"Consumer Price Index","2015 August","Passenger transport by air","Base Dec 2016=100","158.9"
"Consumer Price Index","2015 September","Passenger transport by air","Base Dec 2016=100","123.5"
"Consumer Price Index","2015 October","Passenger transport by air","Base Dec 2016=100","104.5"
"Consumer Price Index","2015 November","Passenger transport by air","Base Dec 2016=100","85"
"Consumer Price Index","2015 December","Passenger transport by air","Base Dec 2016=100","86.1"
"Consumer Price Index","2016 January","Passenger transport by air","Base Dec 2016=100","78.7"
"Consumer Price Index","2016 February","Passenger transport by air","Base Dec 2016=100","91.4"
"Consumer Price Index","2016 March","Passenger transport by air","Base Dec 2016=100","96.3"
"Consumer Price Index","2016 April","Passenger transport by air","Base Dec 2016=100","88.8"
"Consumer Price Index","2016 May","Passenger transport by air","Base Dec 2016=100","97.8"
"Consumer Price Index","2016 June","Passenger transport by air","Base Dec 2016=100","128.2"
"Consumer Price Index","2016 July","Passenger transport by air","Base Dec 2016=100","151.2"
"Consumer Price Index","2016 August","Passenger transport by air","Base Dec 2016=100","137"
"Consumer Price Index","2016 September","Passenger transport by air","Base Dec 2016=100","105.5"
"Consumer Price Index","2016 October","Passenger transport by air","Base Dec 2016=100","93.2"
"Consumer Price Index","2016 November","Passenger transport by air","Base Dec 2016=100","95.2"
"Consumer Price Index","2016 December","Passenger transport by air","Base Dec 2016=100","100"
"Consumer Price Index","2017 January","Passenger transport by air","Base Dec 2016=100","94.2"
"Consumer Price Index","2017 February","Passenger transport by air","Base Dec 2016=100","101"
"Consumer Price Index","2017 March","Passenger transport by air","Base Dec 2016=100","123.3"
"Consumer Price Index","2017 April","Passenger transport by air","Base Dec 2016=100","144.6"
"Consumer Price Index","2017 May","Passenger transport by air","Base Dec 2016=100","109"
"Consumer Price Index","2017 June","Passenger transport by air","Base Dec 2016=100","118.4"
"Consumer Price Index","2017 July","Passenger transport by air","Base Dec 2016=100","152.7"
"Consumer Price Index","2017 August","Passenger transport by air","Base Dec 2016=100","143.8"
"Consumer Price Index","2017 September","Passenger transport by air","Base Dec 2016=100","107.4"
"Consumer Price Index","2017 October","Passenger transport by air","Base Dec 2016=100","97.1"
"Consumer Price Index","2017 November","Passenger transport by air","Base Dec 2016=100","95.3"
"Consumer Price Index","2017 December","Passenger transport by air","Base Dec 2016=100","105.3"
"Consumer Price Index","2018 January","Passenger transport by air","Base Dec 2016=100","95.8"
"Consumer Price Index","2018 February","Passenger transport by air","Base Dec 2016=100","112.1"
"Consumer Price Index","2018 March","Passenger transport by air","Base Dec 2016=100","127"
"Consumer Price Index","2018 April","Passenger transport by air","Base Dec 2016=100","102.8"
"Consumer Price Index","2018 May","Passenger transport by air","Base Dec 2016=100","111.1"
"Consumer Price Index","2018 June","Passenger transport by air","Base Dec 2016=100","104.9"
"Consumer Price Index","2018 July","Passenger transport by air","Base Dec 2016=100","138.4"
"Consumer Price Index","2018 August","Passenger transport by air","Base Dec 2016=100","124.7"
"Consumer Price Index","2018 September","Passenger transport by air","Base Dec 2016=100","99.9"
"Consumer Price Index","2018 October","Passenger transport by air","Base Dec 2016=100","91.8"
"Consumer Price Index","2018 November","Passenger transport by air","Base Dec 2016=100","76.7"
"Consumer Price Index","2018 December","Passenger transport by air","Base Dec 2016=100","93.3"
"Consumer Price Index","2019 January","Passenger transport by air","Base Dec 2016=100","79.9"
"Consumer Price Index","2019 February","Passenger transport by air","Base Dec 2016=100","95.2"
"Consumer Price Index","2019 March","Passenger transport by air","Base Dec 2016=100","120.2"
"Consumer Price Index","2019 April","Passenger transport by air","Base Dec 2016=100","123.2"
"Consumer Price Index","2019 May","Passenger transport by air","Base Dec 2016=100","93.1"
"Consumer Price Index","2019 June","Passenger transport by air","Base Dec 2016=100","110.7"
"Consumer Price Index","2019 July","Passenger transport by air","Base Dec 2016=100","132.2"
"Consumer Price Index","2019 August","Passenger transport by air","Base Dec 2016=100","119.5"
"Consumer Price Index","2019 September","Passenger transport by air","Base Dec 2016=100","96.9"
"Consumer Price Index","2019 October","Passenger transport by air","Base Dec 2016=100","86"
"Consumer Price Index","2019 November","Passenger transport by air","Base Dec 2016=100","82"
"Consumer Price Index","2019 December","Passenger transport by air","Base Dec 2016=100","106.1"
"Consumer Price Index","2020 January","Passenger transport by air","Base Dec 2016=100","82.3"
"Consumer Price Index","2020 February","Passenger transport by air","Base Dec 2016=100","98.2"
"Consumer Price Index","2020 March","Passenger transport by air","Base Dec 2016=100","120.8"
"Consumer Price Index","2020 April","Passenger transport by air","Base Dec 2016=100","123.8"
"Consumer Price Index","2020 May","Passenger transport by air","Base Dec 2016=100","93.6"
"Consumer Price Index","2020 June","Passenger transport by air","Base Dec 2016=100","111.2"
"Consumer Price Index","2020 July","Passenger transport by air","Base Dec 2016=100","80.8"
"Consumer Price Index","2020 August","Passenger transport by air","Base Dec 2016=100","71.4"
"Consumer Price Index","2020 September","Passenger transport by air","Base Dec 2016=100","67.4"
"Consumer Price Index","2020 October","Passenger transport by air","Base Dec 2016=100","56.8"
"Consumer Price Index","2020 November","Passenger transport by air","Base Dec 2016=100","59.4"
"Consumer Price Index","2020 December","Passenger transport by air","Base Dec 2016=100","83.9"
"Consumer Price Index","2021 January","Passenger transport by air","Base Dec 2016=100","60.6"
"Consumer Price Index","2021 February","Passenger transport by air","Base Dec 2016=100","61.5"
"Consumer Price Index","2021 March","Passenger transport by air","Base Dec 2016=100","61.1"
"Consumer Price Index","2021 April","Passenger transport by air","Base Dec 2016=100","70.8"
"Consumer Price Index","2021 May","Passenger transport by air","Base Dec 2016=100","65.6"
"Consumer Price Index","2021 June","Passenger transport by air","Base Dec 2016=100","78.7"
"Consumer Price Index","2021 July","Passenger transport by air","Base Dec 2016=100","93.5"
"Consumer Price Index","2021 August","Passenger transport by air","Base Dec 2016=100","107.3"
"Consumer Price Index","2021 September","Passenger transport by air","Base Dec 2016=100","92"
"Consumer Price Index","2021 October","Passenger transport by air","Base Dec 2016=100","97.9"
"Consumer Price Index","2021 November","Passenger transport by air","Base Dec 2016=100","97.9"
"Consumer Price Index","2021 December","Passenger transport by air","Base Dec 2016=100","139.5"
"Consumer Price Index","2022 January","Passenger transport by air","Base Dec 2016=100","76.8"
"Consumer Price Index","2022 February","Passenger transport by air","Base Dec 2016=100","87.5"
"Consumer Price Index","2022 March","Passenger transport by air","Base Dec 2016=100","103.4"
"Consumer Price Index","2022 April","Passenger transport by air","Base Dec 2016=100","136.4"
"Consumer Price Index","2022 May","Passenger transport by air","Base Dec 2016=100","95.4"
"Consumer Price Index","2022 June","Passenger transport by air","Base Dec 2016=100","108.9"
"Consumer Price Index","2022 July","Passenger transport by air","Base Dec 2016=100","138.2"
"Consumer Price Index","2022 August","Passenger transport by air","Base Dec 2016=100","144"
"Consumer Price Index","2022 September","Passenger transport by air","Base Dec 2016=100","109.3"
"Consumer Price Index","2022 October","Passenger transport by air","Base Dec 2016=100","111.3"
"Consumer Price Index","2022 November","Passenger transport by air","Base Dec 2016=100","102.3"
"Consumer Price Index","2022 December","Passenger transport by air","Base Dec 2016=100","120.4"
"Consumer Price Index","2023 January","Passenger transport by air","Base Dec 2016=100","93.2"
"Consumer Price Index","2023 February","Passenger transport by air","Base Dec 2016=100","114"
"Consumer Price Index","2023 March","Passenger transport by air","Base Dec 2016=100","140.2"
"Consumer Price Index","2023 April","Passenger transport by air","Base Dec 2016=100","132"
"Consumer Price Index","2023 May","Passenger transport by air","Base Dec 2016=100","127.4"
"Consumer Price Index","2023 June","Passenger transport by air","Base Dec 2016=100","146.1"
"Consumer Price Index","2023 July","Passenger transport by air","Base Dec 2016=100","158"
"Consumer Price Index","2023 August","Passenger transport by air","Base Dec 2016=100","144"
"Consumer Price Index","2023 September","Passenger transport by air","Base Dec 2016=100","108.4"
"Consumer Price Index","2023 October","Passenger transport by air","Base Dec 2016=100","116.3"
"Consumer Price Index","2023 November","Passenger transport by air","Base Dec 2016=100","106.6"
"Percentage Change over 1 month for Consumer Price Index","2003 January","Passenger transport by air","%","2.3"
"Percentage Change over 1 month for Consumer Price Index","2003 February","Passenger transport by air","%","0"
"Percentage Change over 1 month for Consumer Price Index","2003 March","Passenger transport by air","%","-2.7"
"Percentage Change over 1 month for Consumer Price Index","2003 April","Passenger transport by air","%","0.8"
